task_id,backbone,DDV cos-cos,DDV euc-cos
6,17,0.3087207851681415,0.24556703551439873
6,18,0.27379372524695855,0.25105198722920785
6,19,0.25299812450612114,0.11750675785575204
6,20,0.199086669126048,0.15958557258911354
7,1,0.2955045589851817,0.269832930939499
7,2,0.2968569029153205,0.17311343694371895
7,3,0.4963866271737213,0.24618751973958553
7,4,0.21589589954568766,0.1310047683390998
7,5,0.2115546902926828,0.18947902003175898
7,6,0.3415111279106696,0.31242182262968055
7,7,0.0,0.0
7,8,0.3125797355984776,0.16509357180127782
7,9,0.35107412014196004,0.168450141289193
7,10,0.42626203334771484,0.20942771084731115
7,11,0.27055796466026827,0.22474205663422742
7,12,0.26279404969141473,0.20699819015391674
7,13,0.3037830846923548,0.22715042814983055
7,14,0.3076224979643293,0.23480146313270323
7,15,0.2966472043129824,0.1567804677204898
7,16,0.3453790090595058,0.24614783943278562
7,17,0.4087015294924732,0.2734372129106021
7,18,0.3592211662575484,0.30148031092199135
7,19,0.2906396069023215,0.21344403826273517
7,20,0.293696064360243,0.1754714095883827
8,1,0.4529025064883875,0.20569557602101973
8,2,0.23191829871062764,0.14680172395979707
8,3,0.32022795340859833,0.14313560305189643
8,4,0.33132045115312636,0.13346251573064716
8,5,0.2605023986450766,0.11072020676112615
8,6,0.2829641946603405,0.2478458026803827
8,7,0.3124656842340824,0.16513003074591048
8,8,0.0,0.0
8,9,0.26163954597623695,0.19300613575154613
8,10,0.26755291478193,0.14200999023304095
8,11,0.20298408851355498,0.139487394580334
8,12,0.4008718603739281,0.11860897749403221
8,13,0.4108229482539195,0.19508556601930716
8,14,0.17976914016283618,0.19004460478675023
8,15,0.3926973702500328,0.1855808411408031
8,16,0.28240353620250225,0.13775425774818217
8,17,0.24374454263916012,0.11858457482421103
8,18,0.2675961549066965,0.17879938105876436
8,19,0.3813736771608639,0.17407662517053324
8,20,0.2963704097410087,0.12956619784892487
9,1,0.1387137764240728,0.13798038213288955
9,2,0.16879789028976044,0.13024668304458442
9,3,0.250295901361963,0.1257178579873347
9,4,0.2841190990444511,0.19206341120448067
9,5,0.3173114726920595,0.10786235813424605
