Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
12,train,0.001,73.16,0.705,0.301,
12,val,,67.2,0.843,0.301,
13,train,0.001,72.88,0.69,0.301,
13,val,,67.0,0.844,0.301,
14,train,0.001,73.08,0.692,0.301,
14,val,,68.0,0.828,0.301,
15,train,0.001,73.52,0.683,0.301,
15,val,,67.2,0.837,0.301,
16,train,0.001,72.04,0.702,0.301,
16,val,,68.2,0.838,0.301,
17,train,0.001,73.64,0.665,0.301,
17,val,,67.8,0.822,0.301,
18,train,0.001,74.04,0.678,0.301,
18,val,,67.4,0.826,0.301,
19,train,0.001,73.96,0.668,0.301,
19,val,,71.2,0.826,0.301,
20,train,0.001,72.92,0.686,0.301,
20,val,,68.8,0.827,0.301,
0,val,,68.8,0.827,0.301,
1,train,0.001,72.48,0.692,0.353,
1,val,,68.6,0.823,0.353,
2,train,0.001,73.96,0.678,0.386,
2,val,,66.6,0.857,0.386,
3,train,0.001,71.92,0.701,0.398,
3,val,,65.8,0.84,0.398,
4,train,0.001,72.92,0.671,0.4,
4,val,,68.4,0.826,0.4,
5,train,0.001,72.92,0.689,0.4,
5,val,,67.2,0.841,0.4,
6,train,0.001,74.28,0.678,0.4,
6,val,,66.0,0.839,0.4,
7,train,0.001,73.92,0.665,0.4,
7,val,,67.2,0.852,0.4,
8,train,0.001,74.44,0.664,0.4,
8,val,,68.2,0.821,0.4,
9,train,0.001,75.16,0.654,0.4,
9,val,,68.2,0.828,0.4,
10,train,0.001,74.68,0.669,0.4,
10,val,,68.0,0.841,0.4,
11,train,0.001,73.84,0.67,0.4,
11,val,,67.4,0.844,0.4,
12,train,0.001,74.92,0.671,0.4,
12,val,,68.2,0.841,0.4,
13,train,0.001,74.4,0.661,0.4,
13,val,,67.4,0.846,0.4,
14,train,0.001,74.16,0.662,0.4,
14,val,,68.2,0.834,0.4,
15,train,0.001,75.32,0.653,0.4,
15,val,,68.2,0.84,0.4,
16,train,0.001,73.52,0.674,0.4,
16,val,,69.2,0.837,0.4,
17,train,0.001,75.2,0.634,0.4,
17,val,,69.0,0.822,0.4,
18,train,0.001,75.68,0.647,0.4,
18,val,,68.4,0.826,0.4,
19,train,0.001,75.12,0.637,0.4,
19,val,,70.4,0.827,0.4,
20,train,0.001,74.12,0.658,0.4,
20,val,,68.6,0.828,0.4,
0,val,,68.6,0.828,0.4,
1,train,0.001,73.88,0.666,0.453,
1,val,,66.8,0.85,0.453,
2,train,0.001,75.72,0.652,0.486,
2,val,,66.4,0.841,0.486,
3,train,0.001,73.32,0.684,0.498,
3,val,,67.8,0.862,0.498,
4,train,0.001,74.24,0.65,0.501,
4,val,,68.0,0.84,0.501,
5,train,0.001,74.32,0.66,0.501,
5,val,,67.2,0.848,0.501,
6,train,0.001,75.72,0.653,0.501,
6,val,,67.0,0.845,0.501,
