Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
11,train,0.001,75.8,0.635,0.1,
11,val,,73.2,0.734,0.1,
12,train,0.001,76.2,0.627,0.1,
12,val,,72.4,0.757,0.1,
13,train,0.001,75.64,0.639,0.1,
13,val,,71.6,0.751,0.1,
14,train,0.001,76.08,0.627,0.1,
14,val,,72.8,0.743,0.1,
15,train,0.001,75.32,0.637,0.1,
15,val,,70.4,0.747,0.1,
16,train,0.001,75.72,0.635,0.1,
16,val,,71.4,0.742,0.1,
17,train,0.001,75.72,0.639,0.1,
17,val,,71.2,0.743,0.1,
18,train,0.001,75.08,0.647,0.1,
18,val,,72.0,0.742,0.1,
19,train,0.001,75.52,0.625,0.1,
19,val,,70.8,0.754,0.1,
20,train,0.001,76.52,0.628,0.1,
20,val,,72.4,0.738,0.1,
0,val,,72.4,0.738,0.1,
1,train,0.001,76.96,0.611,0.153,
1,val,,72.8,0.753,0.153,
2,train,0.001,76.76,0.613,0.186,
2,val,,73.0,0.738,0.186,
3,train,0.001,77.36,0.608,0.198,
3,val,,72.2,0.754,0.198,
4,train,0.001,76.48,0.61,0.201,
4,val,,71.8,0.736,0.201,
5,train,0.001,76.28,0.614,0.201,
5,val,,71.4,0.736,0.201,
6,train,0.001,78.04,0.6,0.201,
6,val,,73.2,0.742,0.201,
7,train,0.001,77.12,0.599,0.201,
7,val,,71.2,0.732,0.201,
8,train,0.001,76.32,0.607,0.201,
8,val,,71.4,0.734,0.201,
9,train,0.001,76.76,0.597,0.201,
9,val,,72.4,0.741,0.201,
10,train,0.001,76.16,0.625,0.201,
10,val,,71.2,0.735,0.201,
11,train,0.001,76.12,0.608,0.201,
11,val,,72.6,0.73,0.201,
12,train,0.001,76.92,0.601,0.201,
12,val,,72.8,0.755,0.201,
13,train,0.001,77.08,0.611,0.201,
13,val,,71.4,0.752,0.201,
14,train,0.001,76.72,0.603,0.201,
14,val,,72.6,0.743,0.201,
15,train,0.001,76.84,0.609,0.201,
15,val,,70.6,0.745,0.201,
16,train,0.001,76.32,0.609,0.201,
16,val,,71.4,0.741,0.201,
17,train,0.001,76.6,0.612,0.201,
17,val,,71.8,0.744,0.201,
18,train,0.001,76.2,0.619,0.201,
18,val,,72.0,0.741,0.201,
19,train,0.001,77.32,0.598,0.201,
19,val,,71.0,0.752,0.201,
20,train,0.001,77.8,0.601,0.201,
20,val,,71.8,0.736,0.201,
0,val,,71.8,0.736,0.201,
1,train,0.001,78.12,0.583,0.253,
1,val,,72.8,0.741,0.253,
2,train,0.001,77.48,0.592,0.286,
2,val,,73.0,0.736,0.286,
3,train,0.001,77.88,0.586,0.298,
3,val,,72.0,0.75,0.298,
4,train,0.001,77.76,0.587,0.301,
4,val,,72.4,0.732,0.301,
5,train,0.001,77.52,0.591,0.301,
5,val,,71.4,0.735,0.301,
6,train,0.001,79.12,0.575,0.301,
6,val,,73.2,0.737,0.301,
7,train,0.001,77.88,0.574,0.301,
7,val,,71.0,0.728,0.301,
8,train,0.001,77.16,0.58,0.301,
8,val,,71.4,0.731,0.301,
9,train,0.001,78.0,0.572,0.301,
9,val,,72.4,0.741,0.301,
10,train,0.001,77.36,0.601,0.301,
10,val,,72.2,0.73,0.301,
11,train,0.001,77.68,0.582,0.301,
11,val,,72.4,0.727,0.301,
12,train,0.001,78.0,0.578,0.301,
12,val,,72.8,0.756,0.301,
13,train,0.001,78.2,0.586,0.301,
13,val,,72.0,0.754,0.301,
14,train,0.001,77.6,0.579,0.301,
14,val,,72.2,0.741,0.301,
15,train,0.001,78.04,0.582,0.301,
15,val,,70.8,0.747,0.301,
16,train,0.001,77.88,0.585,0.301,
16,val,,72.0,0.739,0.301,
17,train,0.001,77.4,0.588,0.301,
17,val,,71.2,0.743,0.301,
18,train,0.001,77.88,0.591,0.301,
18,val,,72.0,0.739,0.301,
19,train,0.001,78.44,0.573,0.301,
19,val,,70.8,0.752,0.301,
20,train,0.001,79.12,0.576,0.301,
20,val,,72.8,0.739,0.301,
0,val,,72.8,0.739,0.301,
1,train,0.001,79.68,0.555,0.353,
1,val,,72.6,0.77,0.353,
2,train,0.001,78.4,0.574,0.386,
2,val,,72.2,0.739,0.386,
3,train,0.001,78.24,0.568,0.398,
3,val,,72.6,0.738,0.398,
4,train,0.001,78.84,0.566,0.401,
4,val,,72.0,0.732,0.401,
5,train,0.001,78.84,0.57,0.401,
5,val,,71.6,0.727,0.401,
6,train,0.001,80.52,0.551,0.401,
6,val,,73.6,0.731,0.401,
7,train,0.001,79.0,0.551,0.401,
7,val,,72.4,0.722,0.401,
8,train,0.001,78.24,0.556,0.401,
8,val,,72.0,0.725,0.401,
9,train,0.001,79.0,0.548,0.401,
9,val,,72.0,0.737,0.401,
10,train,0.001,78.2,0.577,0.401,
10,val,,71.8,0.722,0.401,
11,train,0.001,78.92,0.559,0.401,
11,val,,73.2,0.721,0.401,
12,train,0.001,79.16,0.555,0.401,
12,val,,73.0,0.75,0.401,
13,train,0.001,79.28,0.559,0.401,
13,val,,72.2,0.75,0.401,
14,train,0.001,79.28,0.555,0.401,
14,val,,71.8,0.736,0.401,
15,train,0.001,79.24,0.556,0.401,
15,val,,71.6,0.743,0.401,
16,train,0.001,79.28,0.561,0.401,
16,val,,72.2,0.732,0.401,
17,train,0.001,78.2,0.566,0.401,
17,val,,71.8,0.744,0.401,
18,train,0.001,78.64,0.566,0.401,
18,val,,72.8,0.735,0.401,
19,train,0.001,79.44,0.548,0.401,
19,val,,71.0,0.751,0.401,
20,train,0.001,80.04,0.551,0.401,
20,val,,72.4,0.737,0.401,
0,val,,72.4,0.737,0.401,
1,train,0.001,80.52,0.528,0.453,
1,val,,70.8,0.809,0.453,
2,train,0.001,79.08,0.554,0.486,
2,val,,72.8,0.746,0.486,
3,train,0.001,79.0,0.554,0.498,
3,val,,70.8,0.774,0.498,
4,train,0.001,79.36,0.552,0.5,
4,val,,72.0,0.744,0.5,
5,train,0.001,79.0,0.549,0.5,
5,val,,71.6,0.741,0.5,
6,train,0.001,81.16,0.529,0.5,
6,val,,72.8,0.746,0.5,
7,train,0.001,79.56,0.53,0.5,
7,val,,71.6,0.736,0.5,
8,train,0.001,79.72,0.532,0.5,
8,val,,71.6,0.743,0.5,
9,train,0.001,79.76,0.525,0.5,
9,val,,71.0,0.75,0.5,
10,train,0.001,79.32,0.554,0.5,
10,val,,71.4,0.734,0.5,
11,train,0.001,79.92,0.535,0.5,
11,val,,72.0,0.729,0.5,
12,train,0.001,80.12,0.531,0.5,
12,val,,71.2,0.76,0.5,
13,train,0.001,79.84,0.535,0.5,
13,val,,72.4,0.761,0.5,
14,train,0.001,80.48,0.532,0.5,
14,val,,71.8,0.744,0.5,
15,train,0.001,80.08,0.532,0.5,
15,val,,70.8,0.756,0.5,
16,train,0.001,80.28,0.54,0.5,
16,val,,70.8,0.745,0.5,
17,train,0.001,79.08,0.545,0.5,
17,val,,71.4,0.756,0.5,
18,train,0.001,80.04,0.543,0.5,
18,val,,71.0,0.748,0.5,
19,train,0.001,79.96,0.529,0.5,
19,val,,70.4,0.762,0.5,
20,train,0.001,80.76,0.528,0.5,
20,val,,72.2,0.748,0.5,
0,val,,72.2,0.748,0.5,
1,train,0.001,81.56,0.503,0.553,
1,val,,70.4,0.829,0.553,
2,train,0.001,79.32,0.553,0.586,
2,val,,70.6,0.819,0.586,
3,train,0.001,79.6,0.543,0.598,
3,val,,70.8,0.808,0.598,
4,train,0.001,79.36,0.548,0.601,
4,val,,73.4,0.733,0.601,
5,train,0.001,79.48,0.544,0.601,
5,val,,73.2,0.738,0.601,
6,train,0.001,81.52,0.517,0.601,
6,val,,73.6,0.746,0.601,
7,train,0.001,80.2,0.517,0.601,
7,val,,72.4,0.741,0.601,
8,train,0.001,79.84,0.522,0.601,
8,val,,72.4,0.744,0.601,
9,train,0.001,79.96,0.514,0.601,
9,val,,73.6,0.751,0.601,
10,train,0.001,79.68,0.545,0.601,
10,val,,72.0,0.734,0.601,
11,train,0.001,80.4,0.518,0.601,
11,val,,72.4,0.734,0.601,
12,train,0.001,80.52,0.521,0.601,
12,val,,72.6,0.772,0.601,
13,train,0.001,80.56,0.518,0.601,
13,val,,71.8,0.767,0.601,
14,train,0.001,81.08,0.517,0.601,
14,val,,72.2,0.745,0.601,
15,train,0.001,81.32,0.514,0.601,
15,val,,72.2,0.76,0.601,
16,train,0.001,80.76,0.524,0.601,
16,val,,72.6,0.753,0.601,
17,train,0.001,79.88,0.53,0.601,
17,val,,73.6,0.766,0.601,
18,train,0.001,80.76,0.524,0.601,
18,val,,72.0,0.758,0.601,
19,train,0.001,80.84,0.51,0.601,
19,val,,71.2,0.766,0.601,
20,train,0.001,80.96,0.513,0.601,
20,val,,73.8,0.754,0.601,
0,val,,73.8,0.754,0.601,
1,train,0.001,82.2,0.489,0.653,
1,val,,66.2,0.954,0.653,
2,train,0.001,78.6,0.559,0.685,
2,val,,68.0,0.825,0.685,
3,train,0.001,78.56,0.571,0.698,
3,val,,68.8,0.771,0.698,
4,train,0.001,79.24,0.556,0.701,
4,val,,70.2,0.757,0.701,
5,train,0.001,79.6,0.543,0.701,
5,val,,70.0,0.757,0.701,
6,train,0.001,81.76,0.512,0.701,
6,val,,72.6,0.748,0.701,
7,train,0.001,80.16,0.517,0.701,
7,val,,71.0,0.746,0.701,
8,train,0.001,80.52,0.514,0.701,
8,val,,71.8,0.747,0.701,
9,train,0.001,80.56,0.509,0.701,
9,val,,71.2,0.757,0.701,
10,train,0.001,80.12,0.542,0.701,
10,val,,71.0,0.742,0.701,
11,train,0.001,80.44,0.512,0.701,
11,val,,72.0,0.74,0.701,
12,train,0.001,80.2,0.516,0.701,
12,val,,71.8,0.774,0.701,
13,train,0.001,80.56,0.514,0.701,
13,val,,71.6,0.766,0.701,
14,train,0.001,80.72,0.506,0.701,
14,val,,72.2,0.75,0.701,
15,train,0.001,81.6,0.507,0.701,
15,val,,71.6,0.757,0.701,
16,train,0.001,80.76,0.518,0.701,
16,val,,71.6,0.76,0.701,
17,train,0.001,80.32,0.518,0.701,
17,val,,72.4,0.771,0.701,
18,train,0.001,80.68,0.518,0.701,
18,val,,71.6,0.761,0.701,
19,train,0.001,81.28,0.501,0.701,
19,val,,71.0,0.773,0.701,
20,train,0.001,81.44,0.506,0.701,
20,val,,70.8,0.754,0.701,
0,val,,70.8,0.754,0.701,
1,train,0.001,82.36,0.481,0.753,
1,val,,64.4,1.038,0.753,
2,train,0.001,73.32,0.68,0.785,
2,val,,62.4,1.048,0.785,
3,train,0.001,75.48,0.636,0.798,
3,val,,61.2,0.991,0.798,
4,train,0.001,74.36,0.666,0.801,
4,val,,69.0,0.804,0.801,
5,train,0.001,75.88,0.613,0.801,
5,val,,68.8,0.804,0.801,
6,train,0.001,77.68,0.586,0.801,
6,val,,69.6,0.796,0.801,
7,train,0.001,77.4,0.593,0.801,
7,val,,68.4,0.805,0.801,
8,train,0.001,78.48,0.586,0.801,
8,val,,68.8,0.792,0.801,
9,train,0.001,78.52,0.572,0.801,
9,val,,69.6,0.794,0.801,
10,train,0.001,77.64,0.591,0.801,
10,val,,69.4,0.803,0.801,
11,train,0.001,78.68,0.565,0.801,
11,val,,70.2,0.793,0.801,
12,train,0.001,77.76,0.576,0.801,
12,val,,70.6,0.814,0.801,
13,train,0.001,79.2,0.565,0.801,
13,val,,69.0,0.818,0.801,
14,train,0.001,78.88,0.571,0.801,
14,val,,70.0,0.78,0.801,
15,train,0.001,79.56,0.554,0.801,
15,val,,70.0,0.801,0.801,
16,train,0.001,79.04,0.561,0.801,
16,val,,70.8,0.793,0.801,
17,train,0.001,78.72,0.556,0.801,
17,val,,70.4,0.797,0.801,
18,train,0.001,79.4,0.568,0.801,
18,val,,70.8,0.786,0.801,
19,train,0.001,79.36,0.548,0.801,
19,val,,69.6,0.799,0.801,
20,train,0.001,79.4,0.552,0.801,
20,val,,69.6,0.785,0.801,
0,val,,69.6,0.785,0.801,
1,train,0.001,79.36,0.532,0.853,
1,val,,57.8,1.296,0.853,
2,train,0.001,66.96,0.87,0.885,
2,val,,50.4,1.411,0.885,
3,train,0.001,64.96,0.908,0.898,
3,val,,55.4,1.279,0.898,
4,train,0.001,66.24,0.878,0.901,
4,val,,66.2,0.898,0.901,
5,train,0.001,69.44,0.796,0.901,
5,val,,68.2,0.84,0.901,
6,train,0.001,71.8,0.749,0.901,
6,val,,68.8,0.83,0.901,
7,train,0.001,71.2,0.734,0.901,
7,val,,67.4,0.824,0.901,
8,train,0.001,71.68,0.722,0.901,
8,val,,67.4,0.825,0.901,
9,train,0.001,71.68,0.732,0.901,
9,val,,68.8,0.816,0.901,
10,train,0.001,72.76,0.74,0.901,
10,val,,69.2,0.806,0.901,
11,train,0.001,72.72,0.72,0.901,
11,val,,69.0,0.809,0.901,
12,train,0.001,72.4,0.711,0.901,
12,val,,68.2,0.828,0.901,
13,train,0.001,72.16,0.709,0.901,
13,val,,69.4,0.818,0.901,
14,train,0.001,72.88,0.705,0.901,
14,val,,69.2,0.809,0.901,
15,train,0.001,73.52,0.696,0.901,
15,val,,68.4,0.817,0.901,
16,train,0.001,72.64,0.711,0.901,
16,val,,69.2,0.817,0.901,
17,train,0.001,73.92,0.679,0.901,
17,val,,69.2,0.819,0.901,
18,train,0.001,72.52,0.709,0.901,
18,val,,69.0,0.819,0.901,
19,train,0.001,74.04,0.683,0.901,
19,val,,69.0,0.824,0.901,
20,train,0.001,74.24,0.675,0.901,
20,val,,68.8,0.813,0.901,
0,val,,68.8,0.813,0.901,
1,train,0.001,73.44,0.676,0.926,
1,val,,48.2,1.361,0.926,
2,train,0.001,69.16,0.813,0.943,
