Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
7,train,0.001,74.4,0.651,0.501,
7,val,,63.4,0.907,0.501,
8,train,0.001,75.4,0.642,0.501,
8,val,,64.6,0.914,0.501,
9,train,0.001,74.92,0.647,0.501,
9,val,,64.4,0.907,0.501,
10,train,0.001,75.24,0.648,0.501,
10,val,,63.8,0.907,0.501,
11,train,0.001,75.2,0.647,0.501,
11,val,,63.0,0.919,0.501,
12,train,0.001,76.04,0.644,0.501,
12,val,,64.2,0.91,0.501,
13,train,0.001,74.52,0.646,0.501,
13,val,,63.8,0.911,0.501,
14,train,0.001,75.2,0.645,0.501,
14,val,,65.0,0.907,0.501,
15,train,0.001,75.84,0.643,0.501,
15,val,,65.0,0.931,0.501,
16,train,0.001,76.64,0.637,0.501,
16,val,,64.8,0.92,0.501,
17,train,0.001,75.36,0.639,0.501,
17,val,,64.6,0.922,0.501,
18,train,0.001,76.2,0.629,0.501,
18,val,,65.4,0.922,0.501,
19,train,0.001,76.04,0.629,0.501,
19,val,,64.2,0.938,0.501,
20,train,0.001,75.76,0.641,0.501,
20,val,,64.0,0.923,0.501,
0,val,,64.0,0.923,0.501,
1,train,0.001,75.76,0.641,0.553,
1,val,,58.6,1.197,0.553,
2,train,0.001,75.0,0.67,0.586,
2,val,,63.4,1.013,0.586,
3,train,0.001,75.12,0.655,0.598,
3,val,,63.4,1.007,0.598,
4,train,0.001,75.08,0.661,0.601,
4,val,,63.2,0.942,0.601,
5,train,0.001,75.6,0.649,0.601,
5,val,,62.8,0.917,0.601,
6,train,0.001,75.72,0.64,0.601,
6,val,,64.2,0.943,0.601,
7,train,0.001,75.76,0.636,0.601,
7,val,,64.8,0.917,0.601,
8,train,0.001,76.24,0.631,0.601,
8,val,,63.4,0.914,0.601,
9,train,0.001,76.08,0.636,0.601,
9,val,,64.2,0.91,0.601,
10,train,0.001,75.76,0.632,0.601,
10,val,,65.0,0.909,0.601,
11,train,0.001,76.4,0.629,0.601,
11,val,,63.6,0.917,0.601,
12,train,0.001,77.0,0.624,0.601,
12,val,,62.8,0.91,0.601,
13,train,0.001,74.84,0.631,0.601,
13,val,,63.6,0.911,0.601,
14,train,0.001,75.88,0.627,0.601,
14,val,,65.2,0.912,0.601,
15,train,0.001,76.16,0.63,0.601,
15,val,,64.2,0.938,0.601,
16,train,0.001,77.12,0.624,0.601,
16,val,,64.4,0.93,0.601,
17,train,0.001,76.48,0.622,0.601,
17,val,,64.2,0.927,0.601,
18,train,0.001,77.44,0.615,0.601,
18,val,,65.4,0.931,0.601,
19,train,0.001,77.04,0.616,0.601,
19,val,,64.0,0.933,0.601,
20,train,0.001,76.16,0.626,0.601,
20,val,,63.6,0.924,0.601,
0,val,,63.6,0.924,0.601,
1,train,0.001,76.2,0.621,0.653,
1,val,,61.6,1.015,0.653,
2,train,0.001,74.44,0.678,0.686,
2,val,,56.6,1.376,0.686,
3,train,0.001,72.12,0.706,0.698,
3,val,,59.2,1.034,0.698,
4,train,0.001,73.16,0.689,0.701,
4,val,,64.8,0.931,0.701,
5,train,0.001,74.24,0.668,0.701,
5,val,,64.8,0.905,0.701,
6,train,0.001,74.4,0.656,0.701,
6,val,,63.4,0.916,0.701,
7,train,0.001,75.2,0.644,0.701,
7,val,,64.4,0.902,0.701,
8,train,0.001,75.04,0.643,0.701,
8,val,,63.6,0.897,0.701,
9,train,0.001,76.16,0.636,0.701,
9,val,,65.6,0.897,0.701,
10,train,0.001,75.32,0.642,0.701,
10,val,,65.0,0.898,0.701,
11,train,0.001,75.6,0.634,0.701,
11,val,,63.4,0.904,0.701,
12,train,0.001,75.48,0.637,0.701,
12,val,,63.4,0.898,0.701,
13,train,0.001,75.24,0.638,0.701,
13,val,,64.2,0.898,0.701,
14,train,0.001,75.16,0.636,0.701,
14,val,,64.4,0.899,0.701,
15,train,0.001,76.12,0.626,0.701,
15,val,,64.2,0.923,0.701,
16,train,0.001,77.36,0.621,0.701,
16,val,,65.2,0.917,0.701,
17,train,0.001,76.56,0.627,0.701,
17,val,,64.8,0.914,0.701,
18,train,0.001,76.96,0.617,0.701,
18,val,,65.4,0.911,0.701,
19,train,0.001,76.92,0.614,0.701,
19,val,,65.0,0.913,0.701,
20,train,0.001,75.56,0.627,0.701,
20,val,,64.6,0.91,0.701,
0,val,,64.6,0.91,0.701,
1,train,0.001,76.16,0.624,0.753,
1,val,,53.0,1.215,0.753,
2,train,0.001,70.84,0.75,0.786,
2,val,,48.0,1.621,0.786,
3,train,0.001,70.72,0.786,0.798,
3,val,,58.4,1.16,0.798,
4,train,0.001,70.56,0.778,0.801,
4,val,,61.2,0.961,0.801,
5,train,0.001,72.04,0.743,0.801,
5,val,,63.4,0.933,0.801,
6,train,0.001,72.12,0.713,0.801,
6,val,,63.6,0.96,0.801,
7,train,0.001,72.56,0.701,0.801,
7,val,,64.0,0.936,0.801,
8,train,0.001,73.72,0.699,0.801,
8,val,,64.4,0.934,0.801,
9,train,0.001,73.48,0.695,0.801,
9,val,,64.6,0.929,0.801,
10,train,0.001,74.0,0.688,0.801,
10,val,,63.8,0.921,0.801,
11,train,0.001,74.0,0.688,0.801,
11,val,,64.6,0.932,0.801,
12,train,0.001,74.52,0.679,0.801,
12,val,,64.0,0.913,0.801,
13,train,0.001,73.12,0.672,0.801,
13,val,,64.0,0.919,0.801,
14,train,0.001,74.12,0.674,0.801,
14,val,,64.4,0.922,0.801,
15,train,0.001,74.2,0.665,0.801,
15,val,,65.0,0.935,0.801,
16,train,0.001,74.44,0.675,0.801,
16,val,,64.4,0.93,0.801,
17,train,0.001,73.76,0.676,0.801,
17,val,,64.8,0.928,0.801,
18,train,0.001,74.84,0.66,0.801,
18,val,,63.0,0.923,0.801,
19,train,0.001,75.28,0.658,0.801,
19,val,,63.4,0.922,0.801,
20,train,0.001,74.2,0.664,0.801,
20,val,,64.0,0.917,0.801,
0,val,,64.0,0.917,0.801,
1,train,0.001,74.84,0.66,0.853,
1,val,,38.6,1.656,0.853,
2,train,0.001,61.6,0.982,0.885,
2,val,,43.0,1.805,0.885,
3,train,0.001,59.84,1.026,0.898,
3,val,,45.0,1.518,0.898,
4,train,0.001,58.8,1.061,0.9,
4,val,,51.0,1.207,0.9,
5,train,0.001,59.88,1.008,0.9,
5,val,,60.4,1.039,0.9,
6,train,0.001,62.0,0.951,0.9,
6,val,,61.0,1.031,0.9,
7,train,0.001,63.12,0.921,0.9,
7,val,,62.0,1.021,0.9,
8,train,0.001,64.24,0.909,0.9,
8,val,,61.0,1.012,0.9,
9,train,0.001,64.0,0.898,0.9,
9,val,,61.2,1.009,0.9,
10,train,0.001,65.64,0.893,0.9,
10,val,,62.2,1.0,0.9,
11,train,0.001,64.72,0.888,0.9,
11,val,,60.8,1.008,0.9,
12,train,0.001,65.8,0.886,0.9,
12,val,,61.4,0.987,0.9,
13,train,0.001,65.84,0.874,0.9,
13,val,,62.2,0.992,0.9,
14,train,0.001,66.6,0.856,0.9,
14,val,,61.4,0.999,0.9,
15,train,0.001,66.76,0.852,0.9,
15,val,,61.6,0.99,0.9,
16,train,0.001,67.04,0.856,0.9,
16,val,,62.0,0.988,0.9,
17,train,0.001,66.68,0.849,0.9,
17,val,,62.8,0.981,0.9,
18,train,0.001,66.52,0.847,0.9,
18,val,,62.0,0.975,0.9,
19,train,0.001,67.6,0.834,0.9,
19,val,,62.8,0.978,0.9,
20,train,0.001,66.6,0.83,0.9,
20,val,,62.8,0.981,0.9,
0,val,,62.8,0.981,0.9,
1,train,0.001,66.8,0.846,0.926,
