Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
8,val,,68.2,0.844,0.101,
9,train,0.001,74.4,0.685,0.101,
9,val,,69.2,0.841,0.101,
10,train,0.001,73.56,0.685,0.101,
10,val,,69.8,0.836,0.101,
11,train,0.001,74.96,0.662,0.101,
11,val,,69.4,0.844,0.101,
12,train,0.001,73.52,0.679,0.101,
12,val,,69.2,0.825,0.101,
13,train,0.001,73.88,0.676,0.101,
13,val,,68.8,0.831,0.101,
14,train,0.001,73.48,0.681,0.101,
14,val,,68.8,0.838,0.101,
15,train,0.001,74.68,0.662,0.101,
15,val,,69.0,0.828,0.101,
16,train,0.001,75.28,0.647,0.101,
16,val,,68.6,0.837,0.101,
17,train,0.001,74.88,0.66,0.101,
17,val,,70.0,0.829,0.101,
18,train,0.001,75.0,0.649,0.101,
18,val,,69.2,0.832,0.101,
19,train,0.001,74.72,0.66,0.101,
19,val,,67.8,0.859,0.101,
20,train,0.001,75.88,0.653,0.101,
20,val,,68.4,0.838,0.101,
0,val,,68.4,0.838,0.101,
1,train,0.001,76.48,0.63,0.153,
1,val,,68.4,0.839,0.153,
2,train,0.001,76.12,0.635,0.186,
2,val,,69.2,0.837,0.186,
3,train,0.001,75.32,0.649,0.198,
3,val,,69.4,0.855,0.198,
4,train,0.001,75.52,0.639,0.201,
4,val,,69.2,0.845,0.201,
5,train,0.001,75.68,0.653,0.201,
5,val,,68.4,0.842,0.201,
6,train,0.001,75.12,0.642,0.201,
6,val,,68.4,0.859,0.201,
7,train,0.001,75.96,0.643,0.201,
7,val,,68.2,0.853,0.201,
8,train,0.001,77.24,0.604,0.201,
8,val,,68.4,0.854,0.201,
9,train,0.001,76.0,0.644,0.201,
9,val,,69.8,0.849,0.201,
10,train,0.001,74.52,0.644,0.201,
10,val,,69.4,0.842,0.201,
11,train,0.001,76.2,0.62,0.201,
11,val,,69.8,0.857,0.201,
12,train,0.001,75.72,0.638,0.201,
12,val,,68.8,0.831,0.201,
13,train,0.001,75.52,0.637,0.201,
13,val,,68.0,0.839,0.201,
14,train,0.001,74.56,0.641,0.201,
14,val,,68.8,0.852,0.201,
15,train,0.001,76.28,0.618,0.201,
15,val,,69.0,0.841,0.201,
16,train,0.001,76.88,0.603,0.201,
16,val,,68.8,0.854,0.201,
17,train,0.001,76.68,0.621,0.201,
17,val,,69.2,0.848,0.201,
18,train,0.001,76.52,0.61,0.201,
18,val,,68.6,0.852,0.201,
19,train,0.001,76.4,0.619,0.201,
19,val,,68.2,0.881,0.201,
20,train,0.001,77.04,0.615,0.201,
20,val,,67.8,0.855,0.201,
0,val,,67.8,0.855,0.201,
1,train,0.001,77.92,0.592,0.253,
1,val,,67.8,0.86,0.253,
2,train,0.001,77.68,0.602,0.285,
2,val,,68.6,0.863,0.285,
3,train,0.001,76.32,0.62,0.298,
3,val,,68.2,0.878,0.298,
4,train,0.001,77.12,0.601,0.301,
4,val,,68.6,0.864,0.301,
5,train,0.001,76.84,0.617,0.301,
5,val,,68.4,0.861,0.301,
6,train,0.001,76.96,0.604,0.301,
6,val,,68.8,0.884,0.301,
7,train,0.001,77.76,0.605,0.301,
7,val,,68.2,0.87,0.301,
8,train,0.001,78.64,0.566,0.301,
8,val,,68.6,0.872,0.301,
9,train,0.001,77.44,0.61,0.301,
9,val,,70.2,0.862,0.301,
10,train,0.001,76.08,0.607,0.301,
10,val,,69.6,0.854,0.301,
11,train,0.001,77.44,0.583,0.301,
11,val,,69.6,0.876,0.301,
12,train,0.001,77.48,0.601,0.301,
12,val,,69.6,0.846,0.301,
13,train,0.001,77.04,0.599,0.301,
13,val,,69.2,0.859,0.301,
14,train,0.001,76.88,0.607,0.301,
14,val,,68.8,0.872,0.301,
15,train,0.001,77.28,0.579,0.301,
15,val,,70.6,0.864,0.301,
16,train,0.001,78.8,0.563,0.301,
16,val,,68.6,0.874,0.301,
17,train,0.001,78.88,0.586,0.301,
17,val,,70.4,0.868,0.301,
18,train,0.001,77.84,0.576,0.301,
18,val,,69.0,0.872,0.301,
19,train,0.001,78.36,0.579,0.301,
19,val,,67.4,0.899,0.301,
20,train,0.001,78.28,0.58,0.301,
20,val,,67.8,0.876,0.301,
0,val,,67.8,0.876,0.301,
1,train,0.001,80.04,0.557,0.353,
1,val,,69.2,0.923,0.353,
2,train,0.001,78.48,0.578,0.386,
2,val,,68.8,0.897,0.386,
3,train,0.001,77.56,0.584,0.398,
3,val,,68.8,0.881,0.398,
4,train,0.001,78.88,0.568,0.401,
4,val,,70.8,0.855,0.401,
5,train,0.001,77.56,0.586,0.401,
5,val,,69.2,0.869,0.401,
6,train,0.001,78.16,0.571,0.401,
6,val,,69.6,0.891,0.401,
7,train,0.001,79.08,0.57,0.401,
7,val,,68.8,0.882,0.401,
8,train,0.001,79.96,0.53,0.401,
8,val,,68.6,0.88,0.401,
9,train,0.001,78.44,0.574,0.401,
9,val,,70.4,0.871,0.401,
10,train,0.001,77.84,0.571,0.401,
10,val,,71.4,0.862,0.401,
11,train,0.001,79.4,0.548,0.401,
11,val,,70.6,0.89,0.401,
12,train,0.001,79.04,0.564,0.401,
12,val,,71.6,0.859,0.401,
13,train,0.001,78.48,0.565,0.401,
13,val,,70.2,0.872,0.401,
14,train,0.001,78.4,0.572,0.401,
14,val,,69.8,0.889,0.401,
15,train,0.001,78.92,0.542,0.401,
15,val,,70.8,0.881,0.401,
16,train,0.001,80.0,0.523,0.401,
16,val,,68.8,0.891,0.401,
17,train,0.001,80.2,0.549,0.401,
17,val,,71.0,0.887,0.401,
18,train,0.001,79.92,0.543,0.401,
18,val,,70.0,0.891,0.401,
19,train,0.001,79.44,0.539,0.401,
19,val,,69.2,0.913,0.401,
20,train,0.001,79.68,0.549,0.401,
20,val,,68.6,0.891,0.401,
0,val,,68.6,0.891,0.401,
1,train,0.001,81.72,0.524,0.453,
1,val,,69.4,0.921,0.453,
2,train,0.001,80.0,0.551,0.486,
2,val,,68.6,0.949,0.486,
3,train,0.001,78.48,0.573,0.498,
3,val,,69.6,0.915,0.498,
4,train,0.001,80.24,0.541,0.501,
4,val,,68.8,0.887,0.501,
5,train,0.001,79.4,0.557,0.501,
5,val,,69.6,0.894,0.501,
6,train,0.001,79.28,0.538,0.501,
6,val,,68.4,0.909,0.501,
7,train,0.001,79.92,0.548,0.501,
7,val,,69.2,0.898,0.501,
8,train,0.001,80.96,0.503,0.501,
8,val,,69.4,0.898,0.501,
9,train,0.001,80.0,0.546,0.501,
9,val,,70.0,0.898,0.501,
10,train,0.001,78.84,0.544,0.501,
10,val,,70.8,0.879,0.501,
11,train,0.001,80.24,0.52,0.501,
11,val,,69.8,0.914,0.501,
12,train,0.001,80.36,0.541,0.501,
12,val,,69.4,0.883,0.501,
13,train,0.001,79.64,0.539,0.501,
13,val,,70.2,0.886,0.501,
14,train,0.001,79.72,0.543,0.501,
14,val,,69.0,0.905,0.501,
15,train,0.001,80.48,0.509,0.501,
15,val,,71.0,0.901,0.501,
16,train,0.001,81.6,0.492,0.501,
16,val,,69.6,0.915,0.501,
17,train,0.001,81.08,0.521,0.501,
17,val,,70.2,0.904,0.501,
18,train,0.001,80.44,0.513,0.501,
18,val,,70.4,0.912,0.501,
19,train,0.001,81.2,0.505,0.501,
19,val,,68.6,0.93,0.501,
20,train,0.001,79.72,0.524,0.501,
20,val,,69.0,0.919,0.501,
0,val,,69.0,0.919,0.501,
1,train,0.001,82.0,0.497,0.553,
1,val,,65.8,1.065,0.553,
2,train,0.001,79.2,0.562,0.586,
2,val,,66.2,1.057,0.586,
3,train,0.001,78.52,0.569,0.598,
3,val,,67.4,0.965,0.598,
4,train,0.001,79.28,0.546,0.6,
4,val,,68.6,0.916,0.6,
5,train,0.001,79.44,0.547,0.6,
5,val,,68.8,0.909,0.6,
6,train,0.001,81.32,0.519,0.6,
6,val,,68.8,0.928,0.6,
7,train,0.001,80.72,0.528,0.6,
7,val,,69.8,0.925,0.6,
8,train,0.001,81.92,0.486,0.6,
8,val,,69.8,0.919,0.6,
9,train,0.001,81.04,0.526,0.6,
9,val,,70.0,0.902,0.6,
10,train,0.001,80.56,0.518,0.6,
10,val,,70.0,0.898,0.6,
11,train,0.001,81.6,0.502,0.6,
11,val,,69.4,0.931,0.6,
12,train,0.001,81.08,0.52,0.6,
12,val,,69.4,0.904,0.6,
13,train,0.001,80.8,0.514,0.6,
13,val,,69.6,0.906,0.6,
14,train,0.001,80.56,0.525,0.6,
14,val,,69.6,0.919,0.6,
15,train,0.001,82.2,0.483,0.6,
15,val,,69.8,0.917,0.6,
16,train,0.001,82.6,0.471,0.6,
16,val,,68.8,0.93,0.6,
17,train,0.001,82.0,0.499,0.6,
17,val,,70.6,0.925,0.6,
18,train,0.001,81.52,0.494,0.6,
18,val,,71.0,0.93,0.6,
19,train,0.001,82.36,0.482,0.6,
19,val,,69.4,0.957,0.6,
20,train,0.001,80.76,0.505,0.6,
20,val,,69.4,0.932,0.6,
0,val,,69.4,0.932,0.6,
1,train,0.001,82.92,0.477,0.653,
1,val,,61.4,1.301,0.653,
2,train,0.001,76.2,0.623,0.686,
2,val,,62.6,1.073,0.686,
3,train,0.001,75.96,0.602,0.698,
3,val,,66.4,0.984,0.698,
4,train,0.001,78.12,0.573,0.701,
4,val,,68.4,0.924,0.701,
5,train,0.001,78.76,0.568,0.701,
5,val,,68.8,0.909,0.701,
6,train,0.001,80.96,0.535,0.701,
6,val,,68.8,0.918,0.701,
7,train,0.001,79.72,0.544,0.701,
7,val,,69.6,0.921,0.701,
8,train,0.001,82.12,0.499,0.701,
8,val,,69.2,0.904,0.701,
9,train,0.001,80.36,0.538,0.701,
9,val,,69.4,0.9,0.701,
10,train,0.001,80.0,0.528,0.701,
10,val,,70.8,0.887,0.701,
11,train,0.001,80.84,0.515,0.701,
11,val,,71.6,0.914,0.701,
12,train,0.001,80.12,0.529,0.701,
12,val,,70.6,0.893,0.701,
13,train,0.001,80.12,0.519,0.701,
13,val,,70.0,0.899,0.701,
14,train,0.001,80.44,0.525,0.701,
14,val,,70.2,0.909,0.701,
15,train,0.001,82.44,0.486,0.701,
15,val,,70.4,0.905,0.701,
16,train,0.001,82.6,0.471,0.701,
16,val,,70.2,0.924,0.701,
17,train,0.001,81.36,0.502,0.701,
17,val,,70.6,0.92,0.701,
18,train,0.001,80.8,0.496,0.701,
18,val,,71.8,0.917,0.701,
19,train,0.001,81.44,0.494,0.701,
19,val,,69.6,0.939,0.701,
20,train,0.001,80.76,0.506,0.701,
20,val,,68.0,0.934,0.701,
0,val,,68.0,0.934,0.701,
1,train,0.001,82.4,0.475,0.753,
1,val,,51.0,1.433,0.753,
2,train,0.001,73.52,0.69,0.785,
2,val,,62.4,1.256,0.785,
3,train,0.001,74.28,0.687,0.798,
3,val,,56.8,1.269,0.798,
